c_personid,Rank,Lindex,friend,enemy,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_latest_year,choronym,Lu,entrytype,Longitude,Latitude
9,8.5,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0
12,6,1140,94.88185868,0,1140,0,0,0,1126,0,C45,L12907,E12907,116.351341,27.984781
20,3,1145,0,0,1145,1079,0,0,0,0,0,L12669,E12669,120.733788,31.646582
63,1.5,1145,96.76559787,0,1145,0,0,0,0,0,0,L12753,E12753,121.542656,29.866316
66,6,1142,0,147.1216951,1142,0,0,0,0,0,0,L12587,E12587,115.47425,30.30481
73,6.5,1143,0,0,1143,0,0,0,0,0,0,0,0,0,0
75,8,1147,0,0,1147,0,0,0,0,0,0,0,0,0,0
84,6,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.011101,25.433954
89,4.5,1149,98.03044147,142.3999445,1149,1090,1155,66,0,0,0,L12753,E12753,121.152763,30.049067
101,4,1143,89.71274867,0,1143,0,0,59,0,0,C45,L13015,E13015,112.597038,26.901617
107,6,1140,0,0,1140,0,0,0,0,0,0,0,0,0,0
117,2,1148,92.74425007,0,1148,1089,1157,69,0,0,C83,L12824,E12824,117.236359,29.382742
128,1,1146,58.18817259,168.7472977,1146,1087,1152,66,0,0,C83,L12824,E12824,117.236359,29.382742
148,5.5,1141,0,0,1141,0,0,0,0,0,C24,L11027,E11027,114.34333,34.785477
149,3.5,1145,33.11025194,0,1145,1086,1153,68,0,0,0,L12824,E12824,119.486,31.430706
160,1,1146,95.68095463,45.91135457,1146,0,1146,0,0,0,0,L12824,E12824,118.76899,32.052563
166,7.5,1143,0,46.38335516,1143,0,0,0,0,0,0,L13867,E13867,118.026779,27.756025
167,5.5,1140,51.87942994,0,1140,1093,1140,48,0,0,0,L12669,E12669,118.738399,29.480773
168,1,1148,97.51286362,0,1148,0,1148,0,0,0,0,L12669,E12669,118.738399,29.480773
184,6.5,1145,100.1331177,0,1145,0,0,0,0,0,0,L13867,E13867,119.2296143,26.09373856
201,3.5,1147,93.93503944,0,1147,1090,1147,58,0,0,0,L13867,E13867,117.781792,26.39761
220,5.5,1143,91.74986896,0,1143,0,0,0,0,0,0,L12907,E12907,116.351341,27.984781
252,2,1142,94.37910922,42.81956373,1142,1083,1166,84,0,0,C6,L12669,E12669,119.5706177,31.74697876
254,6.5,1143,0,0,1143,0,0,0,0,0,0,0,0,0,0
264,4,1148,95.02106014,0,1148,1096,1148,53,0,0,C4,L11296,E11296,113.464426,31.640304
289,3.5,1145,33.11025194,0,1145,0,1145,0,0,0,C4,L11027,E11027,114.34333,34.785477
313,8,1144,0,0,1144,0,0,0,0,0,C4,L11027,E11027,114.34333,34.785477
325,6.5,1140,86.22597137,0,1140,1081,1158,78,0,0,C6,L12669,E12669,119.952301,31.782784
337,8,1149,0,0,1149,0,0,0,0,0,C27,0,0,0,0
341,6,1141,0,0,1141,0,0,0,0,0,C27,L12669,E12669,120.618622,31.31271
343,5,1147,0,0,1147,0,0,0,0,0,C27,L12669,E12669,120.618622,31.31271
346,5.5,1145,101.9355419,0,1145,0,0,0,1115,1156,C27,L13867,E13867,118.026779,27.756025
368,6.5,1148,0,0,1148,0,0,0,0,0,0,0,0,0,0
369,6,1145,96.53303801,0,1145,0,0,0,0,0,C83,L12753,E12753,118.867645,28.956821
373,3.5,1145,92.02000136,0,1145,0,1145,0,0,0,C83,L12753,E12753,118.867645,28.956821
376,6,1140,0,0,1140,0,0,0,0,0,0,0,0,0,0
377,6.5,1147,86.04792852,0,1147,0,0,0,0,0,C18,L11027,E11027,114.34333,34.785477
380,3.5,1149,93.18142316,0,1149,0,1149,0,0,0,C19,L11027,E11027,114.34333,34.785477
382,9,1149,92.40154888,0,1149,0,0,0,0,0,C19,L11027,E11027,114.34333,34.785477
384,6.5,1145,92.17290436,0,1145,0,0,0,0,0,C19,L12907,E12907,116.627449,27.559717
388,6,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0
389,4,1147,72.29493966,0,1147,0,0,0,0,0,C19,L12824,E12824,116.663833,28.994167
390,6.5,1149,0,0,1149,0,0,0,0,0,C19,0,0,0,0
398,3.5,1140,88.15011339,0,1140,0,0,67,0,0,C18,L11027,E11027,114.34333,34.785477
399,6,1145,90.07012081,0,1145,0,0,0,0,0,C18,L11027,E11027,114.34333,34.785477
410,9,1145,53.78777195,0,1145,0,0,0,0,0,0,L12669,E12669,120.099312,30.864964
426,5.5,1140,41.79854586,0,1140,0,0,0,0,0,0,L12824,E12824,117.96489,28.450691
445,9,1147,0,0,1147,0,0,0,0,0,0,0,0,0,0
452,6.5,1141,0,0,1141,0,0,0,0,0,0,0,0,0,0
466,4.5,1144,88.99083891,0,1144,1085,1159,75,0,0,C13,L12669,E12669,119.814385,31.363638
474,6.5,1143,33.11025194,0,1143,0,0,0,1140,0,0,L11296,E11296,112.535469,33.001678
490,6,1149,0,0,1149,0,0,0,0,0,0,L12669,E12669,120.618622,31.31271
494,6,1142,59.26004911,0,1142,0,0,0,0,0,0,L12753,E12753,118.615936,28.735312
505,4.5,1147,101.9812918,0,1147,0,0,0,1106,1161,C10,L12753,E12753,119.263466,28.587894
509,3.5,1140,63.77396013,0,1140,0,1146,0,0,0,C10,L11141,E11141,118.478098,36.69748
518,4,1140,89.783301,0,1140,1081,1140,60,0,0,0,L13867,E13867,118.68367,25.36455727
522,3.5,1142,19.58919453,0,1142,0,0,0,0,0,0,L12669,E12669,118.738399,29.480773
532,5,1142,33.11025194,0,1142,0,0,0,0,0,0,L12753,E12753,121.120598,28.843132
538,6,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0
547,6,1141,49.16882104,0,1141,0,0,0,0,0,0,L12669,E12669,119.5706177,31.74697876
565,6,1144,97.28461028,50.80744148,1144,0,0,62,1131,1144,C12,L11371,E11371,112.38263,34.665276
574,5.5,1146,0,0,1146,0,0,0,0,1140,0,L13284,E13284,103.923309,30.579893
584,2,1148,0,35.84893708,1148,1097,1148,52,0,0,0,L12824,E12824,118.76899,32.052563
590,6.5,1148,42.27589061,0,1148,0,0,0,0,0,0,L13867,E13867,118.536255,27.924686
611,6.5,1142,96.3843935,0,1142,0,1142,0,0,0,C59,L13425,E13425,105.570206,30.503918
617,6,1145,95.57009985,0,1145,0,0,0,0,0,0,L12753,E12753,121.444199,29.979195
624,3,1145,0,49.80966116,1145,0,0,0,0,0,C4,L12753,E12753,120.578262,30.004515
646,1,1141,92.81054735,0,1141,0,0,76,0,0,C45,L12753,E12753,120.578262,30.004515
675,5.5,1147,0,0,1147,0,1147,0,0,0,0,L13425,E13425,105.053894,29.580755
688,2,1149,90.62000568,49.79019038,1149,1090,1168,79,0,0,C82,L12753,E12753,121.120598,28.843132
699,5.5,1148,41.79854586,0,1148,0,0,0,1118,0,0,L13867,E13867,119.381439,25.727917
701,6.5,1140,0,0,1140,0,0,0,0,0,C74,L12824,E12824,115.745026,29.330564
713,7.5,1144,0,0,1144,0,0,0,0,0,C8,L11027,E11027,114.34333,34.785477
715,3.5,1145,100.0021401,195.0039843,1145,1086,1153,68,0,0,C8,L12907,E12907,115.398987,28.015566
716,3,1145,42.14511945,50.85578905,1145,1086,1157,72,0,0,0,L12753,E12753,120.556442,27.675718
730,9,1146,0,0,1146,0,0,0,0,0,0,0,0,0,0
767,3,1142,0,0,1142,0,0,0,0,0,0,L12433,E12433,119.177627,32.267544
793,6,1144,94.24086099,99.58038077,1144,0,0,58,1114,0,0,L12669,E12669,119.4442902,32.20648956
796,3.5,1142,0,0,1142,0,0,0,1112,1163,0,L12824,E12824,117.124092,28.964994
806,4.5,1147,97.50554272,0,1147,1088,1150,63,0,0,C34,L12753,E12753,120.653221,28.018291
816,5.5,1143,0,0,1143,0,0,0,0,0,C1,L12669,E12669,119.952301,31.782784
819,6.5,1141,0,0,1141,0,0,0,0,0,0,0,0,0,0
826,2,1146,89.35279204,49.79019038,1146,1087,1146,60,0,0,0,L12669,E12669,119.952301,31.782784
834,5,1145,83.12634042,0,1145,0,0,0,1155,0,0,L12669,E12669,119.952301,31.782784
842,6.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,118.3237839,27.03886414
852,7.5,1149,0,0,1149,0,0,0,0,0,0,0,0,0,0
862,4,1144,0,0,1144,0,0,0,0,0,0,0,0,0,0
904,4.5,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0
917,6,1140,91.45854909,0,1140,0,0,0,1140,0,C42,L12433,E12433,116.555748,33.268639
920,6.5,1140,0,0,1140,0,0,0,0,0,C42,L11027,E11027,114.34333,34.785477
921,9,1143,96.51109649,0,1143,0,0,0,0,0,C42,L12753,E12753,120.653221,28.018291
929,6,1141,0,0,1141,0,0,0,0,0,0,0,0,0,0
948,3.5,1140,94.49248692,0,1140,0,1140,0,0,0,0,L12907,E12907,114.505661,26.327883
958,6.5,1145,0,0,1145,0,0,0,0,0,0,0,0,0,0
961,6.5,1144,52.37012321,0,1144,0,0,0,0,0,0,L11371,E11371,112.785721,34.840869
998,6.5,1144,0,0,1144,0,0,0,0,0,0,0,0,0,0
1012,6.5,1143,0,0,1143,0,0,0,0,1143,C15,L11371,E11371,112.5826721,35.09243774
1038,5.5,1147,97.82477013,0,1147,1088,1154,67,0,0,0,L12824,E12824,118.7425,30.946941
1045,4.5,1141,0,0,1141,0,0,0,1133,0,0,L11703,E11703,115.045477,36.873618
1047,2,1148,0,0,1148,0,0,0,0,1147,0,L11703,E11703,115.045477,36.873618
1053,6.5,1143,50.05019462,0,1143,0,0,0,0,0,C81,L13284,E13284,103.151785,29.911529
1058,6,1145,96.42221844,0,1145,0,0,0,1115,1133,0,L13284,E13284,104.197617,31.342484
1062,3.5,1148,95.31937811,99.58038077,1148,1089,1153,65,0,0,C15,L12669,E12669,120.618622,31.31271
1064,9,1147,0,0,1147,0,0,0,0,0,0,0,0,0,0
1065,4,1141,88.60535118,0,1141,1082,1153,72,0,0,C15,L12669,E12669,120.297668,31.574614
1088,6.5,1140,0,0,1140,0,0,0,1138,0,C15,L11371,E11371,112.5826721,35.09243774
1089,4.5,1143,97.82469143,0,1143,0,0,77,1102,0,0,L12669,E12669,119.947754,30.053434
1093,2.5,1148,0,0,1148,0,1148,0,1126,0,0,L11203,E11203,116.282559,35.956072
1100,6,1148,33.11025194,0,1148,0,0,0,0,0,0,L13867,E13867,118.589905,24.909641
1127,5.5,1142,0,0,1142,0,0,0,1112,0,0,L12669,E12669,119.952301,31.782784
1136,6,1145,94.49248692,0,1145,0,0,0,0,0,0,L12753,E12753,118.867645,28.956821
1139,6.5,1140,47.2950022,0,1140,0,0,0,0,0,0,L13867,E13867,118.169182,26.642174
1148,5,1140,0,96.72771491,1140,0,0,0,1110,0,0,L13867,E13867,119.518837,25.959837
1153,6.5,1140,98.42753864,0,1140,0,0,0,1110,0,0,L13867,E13867,118.68367,25.36455727
1160,6,1148,100.5868433,0,1148,1089,1171,83,0,0,0,L13867,E13867,119.011101,25.433954
1161,3.5,1145,101.078947,0,1145,0,0,0,1115,0,0,L13952,E13952,111.658852,24.336819
1162,6,1142,93.62425149,0,1142,0,0,0,1142,0,0,L13867,E13867,118.18219,26.171848
1173,8.5,1143,0,0,1143,0,0,0,0,0,0,0,0,0,0
1191,6.5,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0
1192,6,1149,41.79854586,0,1149,0,0,0,0,0,C45,L11203,E11203,116.088707,35.39620972
1228,6,1143,53.02369291,0,1143,0,0,0,0,0,0,L11203,E11203,116.304527,35.068165
1233,6.5,1142,0,0,1142,0,0,0,0,0,C17,L12907,E12907,114.931137,27.804075
1237,3.5,1145,0,0,1145,1086,1158,73,0,0,C16,L12907,E12907,114.971275,27.103239
1238,3.5,1146,89.30948193,42.81956373,1146,1087,1167,81,0,0,C17,0,0,0,0
1249,5,1145,0,0,1145,0,0,0,0,0,0,L12669,E12669,119.4442902,32.20648956
