c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
435633,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
10714,9.5,84.73097478,0,1175,1175,0,0,0,0,0,0,0,12753,0,119.649918,29.104712,19,9
44231,8,11.14299545,0,1279,1279,0,0,0,0,0,1279,0,12824,36,117.8445892,29.24472809,16,8
26379,2,75.74828089,0,1037,1037,0,0,0,0,0,0,0,11027,0,115.065971,34.430504,4,2
21603,6.5,38.30416415,0,1104,1104,0,0,0,0,0,0,0,12433,0,118.777321,34.134148,13,6
22758,8.5,72.21751674,0,1005,1005,0,0,0,0,0,0,43,11546,0,115.146522,36.275528,17,8
52669,6,0,0,0,0,0,0,0,0,0,0,0,13952,0,111.627403,21.750427,12,6
96024,5.5,0,0,1055,0,0,0,0,1085,0,1092,0,0,0,0,0,11,5
46116,1.5,79.1404454,0,1158,1158,0,0,0,0,0,0,0,13867,0,118.28717,25.32579,3,1
1990,6,0,0,1143,1143,0,0,0,0,0,0,0,0,0,0,0,12,6
44890,5.5,0,0,0,0,0,0,0,0,0,0,0,11027,132,114.76066,34.49547,11,5
47870,7,0,0,1151,1151,0,0,0,0,0,0,0,13867,36,119.321577,26.073954,14,7
407242,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
51194,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
40956,6,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,12,6
52602,9.5,0,0,0,0,0,0,0,0,0,0,0,12753,36,120.556442,27.675718,19,9
1354,6,0,0,1150,1150,0,0,0,0,0,0,0,0,0,0,0,12,6
52724,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
14261,8.5,0,0,1126,1126,0,0,0,0,0,0,0,12214,118,112.751518,38.88332,17,8
13993,7.5,71.55772581,0,1017,1017,0,0,0,0,0,0,0,11141,0,118.54163,36.510247,15,7
41107,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
39734,7.5,0,0,0,0,0,0,0,1208,549,0,0,0,0,0,0,15,7
18571,2.5,68.41632348,0,1025,1025,0,0,0,0,0,0,15,12214,0,111.782768,37.143234,5,2
37948,9,0,0,1235,1235,0,0,0,1205,548,0,0,12753,0,120.73346,28.852207,18,9
95805,7,0,0,1101,0,0,0,0,1131,0,1132,0,0,0,0,0,14,7
23249,8.5,46.48844889,0,1166,1166,1107,0,0,0,0,0,0,12753,36,121.152763,30.049067,17,8
27814,8.5,77.31292042,0,1295,1295,1236,1298,63,0,0,0,0,12753,36,121.425552,29.283617,17,8
398202,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
46794,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
409002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
95629,6,0,0,1206,0,0,0,0,1236,0,1237,0,0,0,0,0,12,6
45129,8.5,0,0,1103,1103,0,0,0,1103,534,0,0,0,0,0,0,17,8
39218,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
15868,7.5,68.5154624,0,1025,1025,0,0,0,0,0,0,58,11703,0,114.070267,35.410385,15,7
3151,3,71.53946631,0,1024,1024,0,0,0,0,0,0,6,11141,36,117.0014877,36.65013123,6,3
7048,8.5,75.35861538,0,1076,1076,1017,1088,72,0,0,0,23,12753,0,120.578262,30.004515,17,8
430504,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
52136,6,0,0,1051,1051,992,1056,65,0,0,0,0,13284,36,103.67261,30.63656,12,6
14699,4,71.66982859,0,1032,1032,978,1032,55,0,0,0,24,12669,15,120.168625,30.294125,8,4
432980,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
42218,8.5,0,0,0,0,0,0,0,0,0,0,0,12214,0,112.564827,37.873753,17,8
96259,7,0,0,1084,0,0,0,0,1114,0,1115,0,0,0,0,0,14,7
41001,5.5,0,0,0,0,0,0,0,0,0,0,0,12587,0,116.7201,32.705585,11,5
73,6.5,0,0,1143,1143,0,0,0,0,0,0,0,0,0,0,0,13,6
97728,5,0,0,1163,0,0,0,0,1193,0,1194,0,0,0,0,0,10,5
